company,title,description
CloudMedx,VP of Engineering,"CloudMedx is building a world class clinical AI platform that uses healthcare specific NLP and machine learning to generate healthcare insights to improve patient journeys.CloudMedx aims to bring unprecedented scale and simplicity to healthcare by combining evidence-based algorithms and big data architecture. We use NLP to make sense of a wide variety of structured and unstructured data that is stored in clinical workflows. By using our scale and machine learning algorithms, clinical partners at all levels can derive meaningful and real-time insights from their data and intervene at critical junctures of patient care.We are looking for an experienced and hands-on VP of Engineering, that will build, lead and mentor the engineering team responsible for our core data environment and service delivery systems. Your primary responsibility will be to grow and lead a world-class AI engineering team, and ensure they have everything they need to be successful.As part of CloudMedx leadership team, you will inform and align your teams around strategic decisions and ensure we are operating on the right principles, strategy, and roadmaps to build our product. In addition, you will manage budget, roadmaps, timelines, and overall execution in your team to ensure smooth collaboration.Requirements: 10+ years of experience in software development and management in healthcare technology organizations.3+ years of successful leadership and people management experience and effectively mentoring senior leaders on management and technical tracks7+ years of experience in building ML modelsNeeds to be very technical or hands-on with ML/AI models, AWS, Java, Python, SVM, Logistic/Linear RegressionDeep Learning (CNN/RNN) and Big Data KnowledgeGreat record of building high-functioning teams and retaining the best engineering talent.Willingness to work in a small, but fast-paced startup environmentYou will Get: Tremendously impactful role that provides an opportunity to growThe ability to build upon and lead an awesome team of engineersCompetitive salaryA full suite of benefits, including health and dentalA casual and homey workplace in downtown Palo Alto, CACommuter benefitsJob Type: Full-timeWork Location:One locationBenefits:Health insuranceDental insuranceFlexible schedule"
Kanini Software Solutions,"Financial Data Scientist AI, NLP , quantlib","About KaniniKanini provides Agile Software Development, Cloud Computing, Data Science, and Location Intelligence services to public and private organizations. We have successfully served our clients in government, finance, transportation, utility, and software industries since 2003.Why you should joinWorking at Kanini is flexible and personal. We are a highly motivated, collaborative team experimenting with the latest technologies. We are committed to everyone having a healthy work/life balance, and we provide extensive mentorship and training resources to help you succeed.Kanini is looking for an experienced (Data Scientist AI, NLP). Someone who has helped build large, highly scalable web platforms for thousands of users is not required, but a huge plus.Must Have : AI, NLP , quantlib, riskfuelDatabricks with Spark, Scala, SQL & Python.DataScience with Statistics, data analysis, machine learning, deep learning, mathematics, AI, NLP, neural networks & data engineering.Experience in data acquisition, data collection, data cleaning, model development, model validation, and visualization to deliver data science solutions.–Kanini Software Solutions, Inc. does not discriminate in employment matters on the basis of race, gender, religion, age, national origin, citizenship, veteran status, family status, disability status, or any other protected class. We support workplace diversity. If you have a disability, please let us know if there is anything we can do to improve the interview process for you; we’re happy to accommodate.Kanini Software Solutions, Inc., 25 Century Blvd., Ste. 602, Nashville, TN 37214Job Type: ContractContract Length:7 - 11 monthsBenefits:NoneSchedule:Monday to FridayWork Remotely:Temporarily due to COVID-19"
Liberty Mutual Insurance,"Analyst, Data Science, Solaria Labs","Advance your career at Liberty Mutual - A Fortune 100 Company!   The economy is transforming, and to adapt, Liberty Mutual has established Solaria Labs (https://www.solarialabs.com): a global team that builds disruptive new products around emerging consumer trends like micro-mobility and the sharing economy. We have already launched a few products and one company since we started — for examples, see https://www.getcertainly.com, https://www.trydwellbeing.com/, and https://www.totalhomescore.com.  THE ROLE As a Data Scientist in Solaria Labs, you will be part of a team working on most challenging Data Science and Machine Learning problems from computer vision to natural language understanding  Responsibilities Include  Translate product ideas into well-posed data science challenges, and solve them Design and deploy Machine Learning (ML) systems backing our products, including computer vision, NLP, and others Translate and champion our ML capabilities for non-technical audiences Participate in the broader ML community to stay current with the latest techniques and software The actual internal level/grade for this role will depend on the candidate’s overall experience and skill level. Qualifications: Competencies typically acquired through a Master’s degree (in Engineering, Computer Science, Mathematics, or other scientific field of study) and 0-1 years of experience, or may be acquired through a Bachelor’s degree (scientific field of study) and 3+ years of relevant experience Experience analyzing data and a broad understanding of core statistical and ML techniques Expertise with Python, along with standard machine learning libraries Proven track record of rapid prototyping and development, leveraging open source or commercial frameworks (e.g., TensorFlow, Hadoop, AWS) is a plus Ability to thrive in a fast-paced environment with significant uncertainty Possession of strong analytical, decision-making and problem-solving skills Benefits: We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/Benefits Overview: At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed. We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual."
Areté,"Scientist 2, Data Analytics","Areté Associates seeks highly motivated, technically talented and intellectually agile individuals to perform challenging and important work in the areas of signature discovery and exploitation algorithms; detection, classification and tracking algorithms; and design, analysis and performance optimization of robust, real-world advanced analytics software solutions.  The Data Analytics group at Areté has position openings for entry- to mid-level research scientists at our headquarters in Northridge, California.  Roles and Responsibilities:  Conceive, design, prototype and implement advanced algorithms aimed at generating solutions to critical problems  Assess algorithm performance on real-world data  Support multiple projects throughout the company  Engage customers and collaborators to provide technical results and recommendations  Document results via written reports, briefings and well-commented code  Required Qualifications:  Bachelor’s, Master’s or PhD degree in physical sciences, engineering, or mathematics with 0-8 years’ experience  Ability to quickly pick up “on the fly” new skills and develop expertise necessary to provide the best possible solution  Experience in scientific programming using Python, C++, Matlab, or similar high-level languages  Excellent interpersonal communications, technical writing, and briefing skills  Ability to work with minimal supervision and collaborate on small teams  Agility to work multiple potentially disparate projects simultaneously  Proven capability to develop creative solutions to complex technical problems  Intellectual curiosity and high motivation to solve challenging problems  U.S. citizenship and ability to acquire a security clearance  Desired Qualifications:  Experience in any of the following areas: machine learning, including artificial intelligence and deep learning; data analysis, statistical signal processing, spectroscopy, bioinformatics, data fusion, natural language processing, algorithm development  Experience with the Department of Defense (DoD) or the Intelligence Community (IC)  Current security clearance  Areté Associates offers an excellent compensation and a full benefits package. U.S. citizenship, background screen and drug test are required to meet position eligibility. Please submit your resume on-line at: http://www.arete.com  Areté Associates is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex including sexual orientation and gender identity, national origin, disability, protected Veteran Status, or any other characteristic protected by applicable federal, state, or local law.  If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access our career center as a result of your disability. To request an accommodation, contact a Arete Associates Human Resources Representative.   Areté will consider for employment-qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring.   #IND123  Back Share Apply Now"
C Spire,Product Manager,"Overview: This position will report directly to C Spire’s Director of Business Development.  C Spire is seeking a Product Manager for our New Product Management team. In this role, you will be responsible for supporting the company’s new product initiatives, which will help the company achieve its growth targets. This role requires a unique blend of technology, strategic insights, business acumen, and operational knowledge across several verticals (I.E. Healthcare, Wireless, Home Services, Enterprise/SMB, Digital Media/Entertainment, etc.). Responsibilities: Gather, analyze, and interpret information about the market, competitors, consumers, and products; Identify customer “problems to solve” (identify market opportunities), and translate these observations into actionable product/marketing strategies; Work closely with each Line-Of-Business to understand their needs; Explore, Design, and Develop vendor relationships and new business models; Lead the vendors through the prototype and or technical trial phases with the support of our cross-functional team; Create executive presentations that articulate “the problem to solve”, complications, and the solution (as well as the risks); Financial Modeling and Contract Execution Negotiate business terms with vendors (+ manage RFP/RFI) Qualifications: REQUIRED Bachelors required, Master’s degree preferred At least 4 years required, 8 years preferred, of experience in financial modeling, business strategy and/ or marketing Broad list of relationships and or eco-system understanding across Wireless, Enterprise, Home, IoT, Broadband Services, OTT Content, Gaming, Power Management (healthcare experience is desired as well) At least 4 years required, 8 years preferred, of technical experience across a broad range of products/verticals (I.E. media, broadband, wireless, fiber, ethernet, voice, healthcare, automotive, and all things IoT, etc.) Proven track record working with and influencing cross-functional teams, as well as establishing an internal network of relationships at all levels of the organization to drive results is required Demonstrated success in managing a complex workload with multiple priorities and tight deadlines with a focus on measuring results and improving performance is required Self-starter with the ability to work independently and thrive under pressure in a fun but fast paced and ever-changing environment is required Excellent verbal and written communication skills, with a strong executive presence is required Proficient in all Microsoft Office Products required, expert level in Excel, PowerPoint is strongly preferred PREFERRED Specific technical experience is desired in the following areas: 4G and 5G Core and Access Networks; LTE Roaming, charging and policy enforcement techniques CCNA preferred (strong OSI Understanding); Hands on experience with scalable designs/infrastructure (DR / business continuity); General knowledge of security best practices (CISSP Preferred); Familiar with Transport/Backbone circuit designs; Familiar with Alarming/NOC and Customer Care systems (and metrics/KPI’s); Mobile application development with examples of product launches (Both Android and iOS); Web development with working knowledge of CSS/HTML (Custom dev and or CMS like WordPress); Digital Media Systems (signal acquisition, encoding, players, DRM, entitlements, authentications, carrier billing); Home automation and connectivity (Zigbee, Z-Wave, ULE, BLE, Wi-Fi); General Understanding of Natural Language Processing; Working knowledge of the 3GPP device module classifications (I.E. CAT1, CAT M1, etc.) Strong background in Business Development is strongly preferred (I.E. Negotiations, contract administration, payment/finance systems, revenue assurance, etc.) Knowledge of peer organizations and best practices / process is strongly preferred (I.E. Logistics, Customer Care, Sales, Network Operations, Marketing, etc.) Experience with Keynote is desired"
Apple,Applied Machine Learning Researcher,"Summary Posted: Sep 4, 2019 Role Number:200098864 We are looking for engineers with a passion for using machine learning to create intelligent applications. In this highly accomplished, deeply technical and close-knit team of data scientists and machine learning engineers, you will create tools that are used by millions of people. You will design and implement new machine learning algorithms and techniques and collaborate with the most innovative product development teams in the world. Our team researches new machine learning algorithms, models and techniques that will power amazingly intelligent user experiences. We want new ambitious team members to join our research ML group. In this role, we create new models and algorithms, and actively engage with the academic community by publishing your work and participating in academic efforts. You will also have the opportunity to contribute to cool projects around Apple, and use your data science, machine learning and artificial intelligence skills to transfer your ideas into solutions for some of the most challenging technical problems in the next generation of products that will delight millions of people. Key Qualifications Strong academic and publication record Deep technical skills in machine learning, deep learning, computer vision, natural language processing, or artificial intelligence A passion for creating innovative techniques and making these methods robust and scalable Ability to explain and present deep technical ideas Creative, collaborative, & innovation focused Description As a member of the ML Research team, you have the opportunity to design and evaluate new algorithms, models and methods that will impact Apple and the broad ML community. You will also collaborate with teams across Apple, who are building the newest, most compelling intelligent applications in the world. You will also be a trusted advisor for machine learning development. Your responsibilities include: * Researching, nurturing, developing and implementing innovative machine learning, artificial intelligence, computer vision and NLP techniques * Publishing papers, software and creating presentations * Transferring machine learning solutions to data scientists and engineers on product teams * Providing technical guidance to product teams on the choice of machine learning approaches appropriate for a task * Providing architectural guidance on transitioning prototypes to high- performance production models * Providing feed Education & Experience * PhD in Machine learning, Statistics, Computer Science, Physics, or related field or MS in related field with a strong academic track record * 3+ years of research experience in academia or industry"
Ardent Eagle Solutions,Data Manager (TS/SCI w/Poly),"Job Title: Data Manager - extractionClearance required: TS/SCI with polygraph (active within last 24 months) / Clearance sponsorship may be available for US Citizens.Position/Program Highlights: Support Intelligence Community customer and play a key role in providing data extraction services directly to the mission customers.Be a part of one of the premier big data projects within the Customer space.Receive hands-on mentoring from senior members of the team.If you have a passion for data analytics and want the opportunity to move your career forward with increasing responsibility in a collaborative multi-functional environment, this program is a great fit for you.What you’ll get to do in this role: Support ongoing mission specific data needs--as various digital media devices are submitted, you will work to extract relevant information and provide to end customers in workable format(s).Work with large datasets to provide real time value to ongoing mission support staff.Learn from experienced teammates how to write communication cables to clients in the field.Work with an outstanding team of data managers, system engineers, NLP developers, and project managers with a distinct dedication to the mission.When you have completed this assignment, below are several other career options you can transition into: (ask about our proactive career development program - PCDP)Position yourself to take on more sophisticated operational support roles in the mission arena.Expand your technical big data expertise through training and taking on new assignmentsMove your career in to data analytics.What you need to bring to the table: Years of Experience: 2+ years’ experience working with data or supporting Intelligence operationsEducation: BS or BA degree strongly preferredDemonstrate skills and experience requirements from some of the following: Attention to detail and being highly organizedWorking knowledge of Windows Office tools.Demonstrated ability to work in teams with a collaborative interpersonal style.Experience in the Intelligence Community.Interpersonal skills and strong communication experience.Experience directly supporting Customer in an ops tempo environment.Experience working in a Intelligence customer facility.These experiences are nice to have: Cable writing experience.Demonstrated experience in data extraction/analysis.Who are we? Ardent Eagle Solutions (AES), a dynamic and growing company—recipient of the 2019 Inc. 5000-- supporting critical U.S. Intelligence Community and DoD customers in the U.S and around the world is looking to expand its NoVA office with multiple openings. If you want to be a part of mission critical programs that has the potential life span of over five years and is at the heart of big data and analytical tools for the customer, then this program is for you. AES has been helping our customers meet their challenges by offering expert services in systems development, field IT operations, software development, network engineering, PMO support, cloud engineering, and data management/analysis. We are a leading VA certified Service Disabled Veteran Owned Small Business (SDVOSB) focused on the success and growth of our employees, maintaining the family feel and nimble responsiveness of a smaller company, while providing outstanding support to our customers and their missions for over seven years.Where we are going? AES is anticipating multiple new programs throughout the first half of 2020. All these programs involve challenging positions in high-end IT and data programs that will directly support mission partners. We are looking for the best to be a part of new programs from the ground up where you can have a lasting impact on the Customers’ needs.If our position is of interest let’s connect to discuss the Ardent winning culture and how we can partner together.At Ardent Eagle Solutions, we offer a comprehensive benefits package to our employees and their families: Medical/Dental/Vision CoverageMatching 401(k) PlanContinuing Education AssistancePaid Time Off (Enhanced)This job description is intended to describe the general scope of work and level of work that is needed to perform while on task. Other duties may be assigned.Ardent Eagle Solutions is an Equal Opportunity EmployerJob Type: Full-timePay: $90,000.00 - $120,000.00 per yearApplication Question:Do you have a TS/SCI with fullscope poly (active within the last 24 months)Additional Compensation:TipsWork Location:One locationBenefits:Health insuranceDental insurancePaid time offProfessional development assistanceThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeThis Job Is:A job for which military experienced candidates are encouraged to applyA job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaSchedule:Monday to FridayDay shift"
eBay Inc.,Conversational Designer,"Job Description  About the Company: Looking for a company that inspires passion, courage and creativity, where you can be part of the team crafting the future of global commerce? At eBay, your work makes a difference. eBay hires innovators who can push boundaries and change the world.  The role: We are seeking for our Customer Service Technology team a Conversational Designer for our text and voice experiences to develop new behaviors and features, and to improve the usability and utility of existing ones. You will partner closely with an amazing team of Product Managers, Engineers and partners and get inside the heads of our users to shape the extraordinary experiences they don’t even know they need. Bring your creative ideas, and help us develop groundbreaking, engaging conversations.  You are: Collaborative Partner: You demonstrate excellent communication skills across all levels of the organization. You can contextualize and translate a problem and its solution to partners of varying backgrounds to ignite passion and support for your ideas. You are technically savvy and able to work closely with developers, understanding their technical capabilities and constraints. You use excellent judgment and have high standards and are never satisfied with the status quo. eBay Enthusiast: You love eBay and aspire to deliver extraordinary products and customer experiences. You can empathize with your customers and your innovations are driven by their needs across their end-to-end customer journey Strategic Thinker: You can develop a deep understanding of the product vision, the value it brings to customers and its market differentiator. You have insights into how the industry and competition will evolve so you can continue to generate tremendous value to your customers. You have a proven growth mindset and can think creatively Strong Executor: You are strongly oriented towards results. You have an inner drive that pulls you over obstacles and propels you through to the finish line while maintaining impeccable quality and integrity. You pose good judgment in balancing between innovation and robust operation, able to optimize productivity and efficiency when working with your partners  You have: 4+ years experience in interaction design for consumer products Master's degree in HCI, Interaction Design, or related discipline Demonstrated experience in articulating, negotiating, and refining design solutions with partners Track record of delivering amazing customer experiences Strong abilities in sketching, mocking up, and evaluating interaction design A strong portfolio demonstrating both personal and team-based work Experience in a customer service environment is a plus Comfort operating in global environments across cultures, locations, and time zones Analytical and comfortable making data-driven decisions Collaborative in nature, ability to make the complex seem simple Extensive experience in the development and training of Natural Language Understanding (NLU) models Experience with both Interactive Voice Response (IVR) systems and Chat Bots desired  We love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you are safe, included, and that you have the opportunity to bring your unique self to work. To learn about our Diversity Inclusion click here: https://www.ebayinc.com/our-company/diversity-inclusion/  This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies  View our privacy policy  View our accessibility info eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com . We will make every effort to respond to your request for disability assistance as soon as possible.  For more information see: EEO is the Law Poster EEO is the Law Poster Supplement"
"TTS, LLC",Speech Recognition Transcriptionist (MLS) (Employee),"Company Name: Transcription, Technology & Support, LLCJob Type: Speech Recognition Editor (EMPLOYEE)Website: https://tts-mt.com/All Shifts available. Experience Level: 3 years acute care experience in past 5 years.Location of position: United States: Nationwide position, At HomeType of Transcription: Acute Care MLS on FLUENCY PLATFORMSpecialty: All except radiology & pathologyJob Description: Domestic only transcription company actively hiring reliable, consistent, production MLS for full time EMPLOYMENT POSITION with benefits, transcribing/editing on the FLUENCY PLATFORM. No more VDI!!!!Line Count Method: Straight 65 character line (with spaces).Rate: Hourly or production (whichever is higher). Per line rates 0.08 text/0.04 speech plus we offer 3 differentials (shift, CMT, and night/weekend)File Transfer Method: eScription ESMTExperience:  A minimum of 3 years current acute-care transcription/editing experience within the last five years. This includes transcribing/editing report types such as histories and physical, operative notes, consultations and discharge summaries for a wide variety of specialties in a hospital environment. Work must be finished product quality as we will not routinely proof work.Employee Status:  MLS is expected to adhere to a specific schedule. Time off and flexibility can be requested in advance, but unless otherwise arranged, the employee is expected to work this routine schedule. Full time requires a 40-hour scheduled week with a minimum of 35 hours actual production. MLS must average a minimum of 125 lines per hour (lph) text or 250 lph speech, and must maintain 98% accuracy.Editing Time: Tracked by technology system and monitors the time an MLS is actively working in the document (hands on the keyboard or foot on the pedal).Part time is available between 20 and 28 hours weekly. Benefits are not available to part time employees.Visit our web page for full details or apply online at https://www.tts-mt.com/Job Types: Full-time, Part-timePay: $25,000.00 - $50,000.00 per yearBenefits:Dental InsuranceDisability InsuranceFlexible ScheduleHealth InsurancePaid Time OffVision InsuranceSchedule:10 Hour Shift8 Hour ShiftDay ShiftHolidaysMonday to FridayNight ShiftWeekends"
HireStarter,Senior Enterprise Applications Architect (Java),"HireStarter's client, the world's first advisory for cognitive sourcing, helps global enterprises improve gross margins by reducing supply chain costs, with a focus on delivering measurable and accountable supply chain solutions and strategies that transform companies. They are post Series B start-up with over 18M in funding and a strong customer base.This role can be based in Dallas or Austin where leadership sit.About you: *Ability to design, develop, test, and document for large applications and enterprise architecture with Open Source TechnologiesAdvanced technical knowledge of software design patterns and principlesStrong background in Java, ideally 7+ yearsEffective communicator of technology to technical and non-technical audiences.Solid understanding of Enterprise applications, infrastructure, data, governance, processes, security and creating and applying an enterprise framework to align applications, data, infrastructure, technologies, etc. within the enterpriseNice to have: Familiarity with Chatbots, IoT, NLP, voice driven-development (ie, Alexa) and event driven architecture expertiseExperience with Integrations, APIs, microservicesKnowledgeable on Cloud and leveraging cloud to optimize applications and infrastructures, application databases and transactional systemsResponsibilities:Responsible for creating enterprise guidance for share applications and/or componentsIdentify and resolve software performance/scalability/reliability issuesUnderstand and develop application security controls into the various areas of the software development life-cycleWork with various business units to identify enterprise projects that have a high ROIKeep your skills sharp across a range of modern technologies while leading the delivery of solutions that integrate multiple offerings to provide customized client solutions.Equip the delivery team to use the methodologies and tools you’ve determined are best for the project while coaching your team members to develop new skillsUnderstand coding principles, standards and practices as well as best practices in code and data management*Job Type: Full-timePay: $152,000.00 - $188,224.00 per yearBenefits:Health InsurancePaid Time OffSchedule:Monday to FridaySupplemental Pay:Bonus PayExperience:Java: 5 years (Required)Work authorization:United States (Preferred)Work Location:Fully Remote"
CloudMedx,NLP Engineer,"CloudMedx is building a world class clinical AI platform that uses healthcare specific NLP and machine learning to generate healthcare insights to improve patient journeys.CloudMedx aims to bring unprecedented scale and simplicity to healthcare by combining evidence-based algorithms and big data architecture. We use NLP to make sense of a wide variety of structured and unstructured data that is stored in clinical workflows. By using our scale and machine learning algorithms, clinical partners at all levels can derive meaningful and real-time insights from their data and intervene at critical junctures of patient care.We are looking for candidates with a proven background and deep experience in dealing with real world data in one or more of the following areas: deep learning, large-scale machine learning, unsupervised and semi-supervised techniques, reinforcement learning, natural language understanding, and related areas. We are particularly interested in candidates with skills necessary to apply machine learning to address complex cognitive tasks. If you thrive on mastering new technical challenges and desire the opportunity to use your expertise to generate creative solutions to real-world problems, we want to hear from you!Responsibilities:Must have NLP and Deep Learning (CNN/RNN) experienceUse Deep Learning to optimize large-scale machine learning algorithms with thousands of parametersDesign algorithms that combine human & machine workers to train high quality ML modelsExpertise in acquiring, processing, analyzing and modeling of information from potentially massive amounts of structured and unstructured data.You will collaborate closely with technologists and business stakeholders on the transition of your research into high value business applications.Qualifications & Requirements:3+ years of experience using NLP in an applied setting.Ph.D. in Computer Science, Artificial Intelligence, or a related field (at the time of hire)Big Data and Deep Learning (CNN/RNN) knowledgeJava, Python, AWS, ML and AI Models, Logistic/Linear Regression, SVM knowledgeSelf-motivated with a strong work ethic and writing proficiency as evidenced by a strong publication record.The ability to think “out of the box” to combine multiple possibly unrelated solutions to solve a single complex problem.Preference would be given to candidates with healthcare experience.Job Type: Full-timePay: $0.00 per hourLocation:Palo Alto, CA (Required)Work Location:One locationBenefits:Health insuranceDental insuranceThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingOutcome-oriented -- results-focused with strong performance cultureSchedule:Monday to FridayDay shiftWork Remotely:Temporarily due to COVID-19"
Apple,AI/ML - Machine Learning Research Engineer - Machine Intelligence,"Summary Posted: Mar 26, 2020 Role Number:200160825 As a Machine Learning Research Engineer, you'll play a key role in developing novel techniques and solutions in applications of deep learning to contribute in building and improving AI models in Apple products. As a team, we are working to define and solve the hardest problems in machine learning, computer vision, NLP, and speech recognition. Our roots are in research, which means at our core, we value learning, intellectual curiosity, and exploration. Within Apple's, the Machine Intelligence team is actively solving some of the most difficult problems in the world pertaining to AI/ML. This means our work needs to be, not only innovative and precise, but also fast, highly reliable, and seamless across a variety of platforms and devices. Key Qualifications Proficient in Python Expertise in working with at least one deep learning framework, for example, PyTorch, Torch, TensorFlow, Caffe Machine learning courses or equivalent practical machine learning experience Strong mathematical background in statistics, probability and linear algebra Deep understanding of the foundational machine learning concepts Strong communication skills in reading, writing, and speaking Description As a Research Engineer on this team, you will use your background to: - Understand the current state-of-the-art solutions - Research on the novel solutions for AI problems in Apple. - Publish papers in top-tier venues in ML/CV/NLP/Speech. - Prototype novel solutions and deliver comprehensive evaluations - Design machine learning models for a wide range of AI applications including computer vision, NLP, speech recognition - Train ML models to achieve state-of-the-art accuracy - Design and train efficient ML model for the purpose of deployment on device - Collaborate with other engineers to enable Apple products with efficient and accurate ML solutions Education & Experience PhD in Computer Science or a related field Additional Requirements A strong track of publication record in ML/CV/NLP/Speech"
eBay Inc.,"Product Lead, AI Platform","About Our Team : The AI Platform and Applications team is responsible for building innovative AI based services and eBay’s AI Platform that helps create magical, frictionless, personalized and trusted experiences for eBay's buyers and sellers. We focus on specialized areas of AI and Machine learning such as AI Platform, Computer Vision (CV) and Natural Language Processing (NLP). These are fundamental set of AI enablers for a variety of product specific use cases on the buy and sell side of our market place.  The AI Platform team is looking for an ambitious and seasoned product manager with an entrepreneurial and innovation mindset (incubated products; pitched initiatives, secured investments; startup experience is a plus!).  This position will lead the vision, strategy, roadmap and execution for eBay’s AI Platform.  We are looking for a PM that: Is passionate about customer success, creating impact and takes pride in building awesome products!  Can work with ambiguity and complexity to collaboratively lead a cross-functional (research, engineering, data, partners) and geo-distributed team towards a unified strategy and execution roadmap  Has solid technical depth and proven expertise building at-scale services or platforms  Has launched AI, ML or data products, services or platforms  Has the ability to engage, lead and influence technical and business partners  Brings the human centric design thinking to innovation  Is a seasoned Product Manager (5+ years with proven progression and growth as a PM)  Has proven experience in software development methodologies  Has a grad/undergrad in CS or equivalent. MBA preferred.  Here at eBay, we love creating opportunities for others by connecting people from widely diverse backgrounds, perspectives, and geographies. So, being diverse and inclusive isn’t just something we strive for, it is who we are, and part of what we do each and every single day. We want to ensure that as an employee, you feel eBay is a place where, no matter who you are, you feel safe, included, and that you have the opportunity to bring your unique self to work. To learn about eBay’s Diversity & Inclusion click here: https://www.ebayinc.com/our-company/diversity-inclusion/  This website uses cookies to enhance your experience. By continuing to browse the site, you agree to our use of cookies  View our privacy policy  View our accessibility info eBay Inc. is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, sex, sexual orientation, gender identity, veteran status, and disability, or other legally protected status. If you are unable to submit an application because of incompatible assistive technology or a disability, please contact us at talent@ebay.com . We will make every effort to respond to your request for disability assistance as soon as possible.  For more information see: EEO is the Law Poster EEO is the Law Poster Supplement"
Pearson,Senior Machine Learning Engineer,"Description We are the world’s learning company with more than 24,000 employees operating in 70 countries. We combine world-class educational content and assessment,powered by services and technology, to enable more effective teaching and personalized learning at scale. We believe that wherever learning flourishes so do people. Working closely with a small team of experts, we have a unique opportunity for you to play a leading role in migrating machine learning based solutions from R&D to product-level operational delivery. The team at Pearson offers a unique environment for extremely skilled and motivated thinkers. Our culture is highly charged with people who are passionate about a cause, using technology to enhance students’ educational experiences. Our team has been building machine learning solutions for educational markets for two decades. Senior Machine Learning Engineer located in Boulder, CO or REMOTE for the right candidate Are you a programming expert with a passion for machine learning and operational delivery?  Would you love a job with expectations to keep abreast of the state-of-the art in language processing and apply it?  Do you thrive on continuously “moving the performance needle”?  Are you a data detective? Do you resonate with going the extra mile to track down anomalies and stomp out defects?  Are you excited by the idea of taking ownership of software used by millions of users a year?  Qualifications Required Skills MS or PhD in a quantitative field (CS, EE statistics, math, data science)  At least 5 years professional experience as a software engineer or data scientist  Experience in natural language processing (NLP)  Strong coding & analytics skills including proficiency in python and Linux  Track record of producing machine learning models and production infrastructure at scale  Strong verbal and written communication skills including the ability to interact effectively with colleagues of varying technical and non-technical abilities  Passionate about agile software processes, data-driven development, reliability, and systematic experimentation  #LI-POST Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply. Primary Location: US-CO-Boulder Other Locations US-CO-Centennial Work Locations: US-CO-Boulder-4845 Pearl East 4845 Pearl East Circle Boulder 80301 Job: Technology Organization: Assessments School Employee Status: Regular Employee Job Type: Standard Shift: Day Job Job Posting: Jun 22, 2020 Job Unposting: Ongoing Schedule: Full-time Regular Req ID: 2006238 Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply."
